name,price,images,key_ingredients,size
COSRX The Blue Peptide Bakuchiol Plump Glow Serum,220.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_00.jpg?v=1777444989,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_01_e12a9b68-8aca-4628-ba86-9b46beef3f49.jpg?v=1781770967,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide__-_1_a80f0d8b-adf4-41db-b8cc-3d285079be19.jpg?v=1780659432,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_02__3.webp?v=1777521461,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_03.webp?v=1777521461,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_05.webp?v=1777521461,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_06_881b3d87-cdda-4aa9-bc5d-083fc7a29938.webp?v=1779356242,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_07_f40b94b8-8231-4c1a-93ac-962e1ccb5a46.webp?v=1779356251,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_08.webp?v=1777521460,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_10.webp?v=1779356257,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_11__3.webp?v=1777521460,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_14.webp?v=1777522179,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_15__2.webp?v=1777522179,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Serum_17_5a79319f-0b1b-44bc-800e-733f54acbee9.webp?v=1779356260","Copper Peptide 0.5% (5,000ppm) + Bakuchiol 0.25% (2,500ppm)",50mL / 1.69 fl. oz.
COSRX The Blue Peptide Bakuchiol Plump Bounce Cream,230.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_00.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_01__1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide__-_1_4a29784c-2bb4-4edb-bae8-8ae8587d4320.jpg?v=1780658817,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_02_1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_03_1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_05_1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_06__1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_07__1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_08_2.webp?v=1779876702,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_09_1.webp?v=1779876169,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_10_c28a7c66-d165-4548-85f4-39395dd08677.webp?v=1779876216,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_12__1.webp?v=1779876511,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_13.webp?v=1779876800,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_16__1.webp?v=1779876654,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_17.webp?v=1779876217,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_18.webp?v=1779876616,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_19.webp?v=1779876578,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptide_Cream_22_1.webp?v=1779876216","Copper Peptide 0.5% (5,000ppm) + Bakuchiol 0.05% (500ppm)",50mL / 1.69 fl. oz.
Ultra-Light Invisible Sunscreen SPF50 PA++++,260.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_800x1067_e5a058ed-afbb-4517-9516-58a1bf91b1aa.webp?v=1785303430,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_1_67b72102-93e5-431f-8ca7-450eec05fe5a.jpg?v=1716971740,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_3.jpg?v=1716862508,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_4.jpg?v=1716862508,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_9.jpg?v=1716862508,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_17_902e676e-e3ce-4fae-aaf8-1696d2e66226.jpg?v=1724837144,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_13.jpg?v=1724837146,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_10.jpg?v=1716862508,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_17.jpg?v=1724837142,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_14.jpg?v=1724837153,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_15.jpg?v=1716862508,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_16.jpg?v=1724837157",,"50mL / 1.69 fl. Oz * #1 Best Seller on Amazon in Facial Sunscreen (UK: 13 April – 13 May 2026, DE: 8 May – 19 May 2026)"
The 6 Peptide Skin Booster Serum,205.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/THE_6_PEPTIDE_SKIN_BOOSTER_SERUM___800x1067_1.webp?v=1784097536,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_1.jpg?v=1786070297,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_10.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_11.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_12.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_13.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_15.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_16_4be8a8b1-52aa-4fbb-b496-6464d3ae19f2.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_17.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_18.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_19.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_20.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_21.jpg?v=1786070297,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_3.jpg?v=1786070296,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_6.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_7.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_9.jpg?v=1786070295,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x800_The6_Peptide_Serum.jpg?v=1786070297,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_2.jpg?v=1786070297,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_4.jpg?v=1786070297,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptide_Serum_5_2.jpg?v=1786070297",,150mL (5.07 fl.oz)
The Ceramide Skin Barrier Moisturizer,370.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_800x1067_shape.jpg?v=1752553177,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_02__2.jpg?v=1752553177,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_03__2.jpg?v=1752553177,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_04.jpg?v=1752553177,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_01__5.webp?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_06.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_07.jpg?v=1784611688,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_08B-1.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_08B-2.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_10__2.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_11__2.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_13__3.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_12.jpg?v=1784611688,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_15.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_16.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_17.jpg?v=1756458228,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Moisturizer_18__1.jpg?v=1784611688",,80mL (2.70 fl.oz)
The Peptide Collagen Hydrogel Eye Patch,185.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_800x1067_c02f7788-3288-4bd7-bbdb-232b9f4de72c.webp?v=1785303430,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_1.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_2.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_3.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_4.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_5.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_7.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_8.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_9__2.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_11.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_14__2_1.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_15.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_16.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel_Eye_patch_17.jpg?v=1768284034,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Hydrogel-Eye-patch3_800x1067_e01612cc-f037-4535-8587-9a0d68d4f857.png?v=1768284034",,"Single, 2-Pack, 3-Pack"
AHA/BHA Clarifying Treatment Toner,120.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ahabha-clarifying-treatment-toner-cosrx-official-1.jpg?v=1724835581,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_01B.webp?v=1780986536,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_02__2.webp?v=1780905670,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_03B.webp?v=1780905670,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_06.webp?v=1780905670,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_07B.webp?v=1780905671,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_09.webp?v=1780905671,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_10.webp?v=1780905670,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_11.webp?v=1780905671,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_12.webp?v=1780905670,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_13.webp?v=1780905670",,150ml / 5.07 fl. oz
COSRX The Alpha-Arbutin Discoloration Care Hydrogel Mask,58.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydroge_Mask_00.webp?v=1749692231,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_02.webp?v=1746779815,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_03.webp?v=1747299320,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_05.webp?v=1747299320,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_06.webp?v=1747299320,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_07.jpg?v=1747299320,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_08_0cf2917c-8cbf-419c-abe0-5b211abc30f3.jpg?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_09.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_10.jpg?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_11.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_12.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_13.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_15.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_16.jpg?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_17.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_18.webp?v=1747616658,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_19.webp?v=1747616658",,"3ea, 1ea"
COSRX Azelaic Acid 10 B5 Redness Soothing Cream,165.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_00.webp?v=1782456881,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_01.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_02.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_03.webp?v=1782710255,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_05.webp?v=1782710255,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_06.webp?v=1782710255,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_07.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_08.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_09.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_10.webp?v=1782710254,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_11.webp?v=1782710255,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_12__-elementor-io-optimized.webp?v=1782718423,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_13.webp?v=1782710342,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_14.webp?v=1782710342,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_15.webp?v=1782710342,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_16.webp?v=1782710342,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_18.webp?v=1782710342,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_10_Cream_19.webp?v=1782710342",Azelaic Acid 10%,30mL / 1.01 fl. oz.
COSRX 5 PDRN Collagen Intense Vitalizing Serum,115.0,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_00_41bfc9ae-bbf5-40a2-a27c-35b27a2f0780.webp?v=1761526605,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_01__2_1.webp?v=1761900283,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_02__1.webp?v=1761900283,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_03__1.webp?v=1761900283,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_04__1.webp?v=1761900283,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_05__1.webp?v=1761900283,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_08__2_1.webp?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_10__1.webp?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_11__1.webp?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_13__1.webp?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_14__1.webp?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_17.jpg?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_18__2.jpg?v=1762906527,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_Serum_small_fcd9651e-2b7e-450f-941e-228aae44457e.jpg?v=1780550849",,"100 mL / 3.38 fl oz, 50 mL / 1.69 fl oz"
